Score,a_act,d_act,K_n,n,a_x,d_x,m,K_S,K_a,k1,k2,k4,k3,XbsT,sT
5.361850450530269,82.29028273746485,0.14242504214340865,2.168228571495151,1.7425382056722638,3.5043198854289193,0.008398262821567706,1.9394780035541186,1.750359419067545,1138.1201668262265,0.00012034114034855634,9.9470007726678,0.10398017545886594,9.843880727801757,101.50379482591234,479.77259530123814
5.5133953088462855,9.87881706861522,0.014831172892316872,1.0767629025486518,5.27368555423673,1.9688683737760433,0.028050178879644453,1.739690842810707,1.0689650555580794,1404.031033057088,0.0005364978805840829,7.589681085517994,0.10069802218259526,6.549661226054611,108.5397309911728,394.2685176803327
5.582206903329958,80.08101905663104,0.03196616840251008,1.017224035984693,9.721692719147113,9.969089589896424,0.029050587208845267,2.0183728993648917,5.067387869441061,1000.291994676904,0.005041019889223848,9.50773856910472,0.10102728463081685,9.955351532465063,100.00000888415401,567.0040272523016
5.5963828950890715,86.66024290260845,8.461772913529767,1.2172211217929798,5.379390853042431,4.761210043726733,0.02671616119852389,1.7224470925176205,1.556680771184149,18.617623465066426,0.0003399147194090502,4.773153502448829,0.1007637714452506,9.992622739920428,101.4423455206015,480.76697076272416
5.628261536673786,5.964885357202377,0.1323452540335478,1.2075313006995332,9.75648725917439,5.0210498537852155,0.008320815741844389,2.178957361998737,1.0003045637784385,289.79077338988066,0.00034773031435216667,8.205137690958086,0.10864717119627038,9.212640523017106,100.37880633259282,92.20736690154477
5.687218934911357,0.21436041665623357,0.1331809379876864,1.049153641915594,1.9045092332640734,0.9368772692395878,0.010122837483473344,1.7109698794706922,1.0020829900543284,3.07217287315284,0.0004647696070320765,7.23936959673064,0.10814319306551244,9.901759639716147,100.00001091226761,270.33025034287505
5.719595873972076,0.02570617540405458,0.03835157580055773,1.2217415227837662,7.879918085512789,4.613788079706388,0.02701318177490862,1.784497874350744,2.304844483115264,2.9477531372178722,0.0012073360060349551,6.913122990915553,0.10825503553178265,9.791723926217093,100.00411932366062,352.9540348395504
5.721180331245646,0.08216606560571195,0.04305809128599082,1.0031376921492152,8.67380518139283,1.4015230653638961,0.0269550557800731,1.9227277781690504,3.599217554402418,2.0973007689048426,0.003106187921175669,6.076480936266771,0.11040896193183662,9.486587012480966,104.90145587255067,369.23934875645153
5.752702546066866,96.64599400134554,0.04642377128955851,3.546595188310585,5.828792703328745,0.7771702740899135,0.02183504551625981,1.973472565405269,1.2274716717103655,744.7135835155374,0.0010052084726912918,8.696197653132781,0.1064497208424373,9.647828292132736,100.09389418715679,177.75312947568534
5.819601548338402,73.02296343185681,0.2322868688256059,1.9706962758527877,8.199301741358594,4.909714998371896,0.016360726276023346,2.4644366550702284,1.5518349986731244,1445.2114453934678,0.0006879765324033901,6.1441574208491625,0.10448441147644673,9.987131432290289,100.03380730813129,88.29109685340502
5.829750851967655,6.473454382119262,9.984994064194943,3.061712773863196,9.358920525952934,5.666716247090052,0.019576314571480867,2.434028546402622,1.8665663133786377,7.87447680531723,0.0010408649656378144,4.330889642111097,0.10003186101560796,9.801143205323203,107.66047310827783,101.98189259897214
5.968978551496818,12.540681536657154,5.744087803090649,1.0281086175277494,2.424167949874671,6.796758017721672,0.03160194082396265,1.9527448995077843,7.315947105298344,1.071215416053675,0.005222508678129281,9.481518664247524,0.11776567615485448,8.642398990716071,100.27061506396097,763.3493046884133
