Score,a_act,d_act,K_n,n,a_x,d_x,m,K_S,K_a,k1,k2,k3,k4,k5,XbsT,sT
5.293193901176132,0.017668237466863496,0.038091075242698225,1.6445330355948165,7.575860985029012,6.138087690374493,0.025851259884034007,5.655552640030859,7.999501686697316,1.0068202777474453,0.00012621195711596975,6.4797111898950135,9.990438946898223,0.10166305480671217,2.5767101559742813,100.00000531591236,353.240593975751
5.338922630378003,1.1958317224856483,0.16567694179022766,1.064817555575097,6.546941722146948,8.805773738398766,0.017296751564302822,8.302582625979056,7.6646542975895295,4.2960442574010544,0.00010463656382830553,7.76531024376162,6.735509719580206,0.12380938897731347,1.9153953625848712,100.00038974153496,451.63489861856726
5.375530335636389,80.46009986592522,3.580526264132484,5.5775140888640395,1.4947011752704873,4.108410586623776,0.0197597532384694,1.9864972829667633,895.7309531750853,105.23864137478496,0.00010046360819464176,2.362671240718891,9.99866857794834,0.10021129586161764,9.884499855768013,105.63761799330925,692.0806419973619
5.44903701987481,11.407429001273837,0.010699772533606053,2.020640394528422,1.5186806747904094,3.4242658433083846,0.0271453646508065,2.102520888355788,242.20170390435229,6530.183857483244,0.00027868282744747023,2.0149722303380835,7.417771031104803,0.10090146328678984,9.886239271476194,104.93830024819422,276.0137104377109
5.532524883961284,40.831327851175004,0.03914320537730104,1.004669092186645,1.4961198698997655,4.41093997551808,0.015881482452468815,2.1766284643877105,38.06721871469609,1740.2744667647405,0.0002087577772298799,9.805684161670884,8.189627306636854,0.10226830656527874,2.5438656979707175,102.2687519439921,90.17278007347949
5.566206391630667,0.8360188873473461,3.7202161033771866,1.0091027087523297,9.979356497593262,9.722599643544623,0.013868650297040751,9.997161468281108,2.1755795121482455,1.0058687326176063,0.00010005232088091957,4.166673079213351,9.034267805998471,0.11747247432404717,0.5909499193098698,100.08447880547173,160.96877972023609
5.586174107031111,33.30133962434184,7.797416632202082,1.047253651911036,5.118147381208749,9.246699803003501,0.00696384778954688,2.891676986924581,12.27073458167386,19.30050072103774,0.00010223094307183071,8.767109014840374,7.069581772502221,0.11868540531212389,0.706534319209151,100.68771473434639,68.9212900141879
5.7289849087774805,0.026262174783834774,0.0340108308113808,2.271145126227439,9.035013286604562,1.078134287711583,0.029088613047731138,2.2752254506553804,58.66648316352542,1.0034022710111485,0.00010012799429094973,0.40088051254465606,9.262842646532878,0.10291180225848738,1.3088263294500186,100.00817624362952,82.66456252562006
5.734284836128197,0.2441361123520775,0.2605896505443147,1.0249157760246574,3.5079430746083293,8.392492715357594,0.0196530605847534,2.6713642346961377,6.560849818599044,2.368682198033023,0.00010000144153541537,9.992233484576161,9.999372452881525,0.10604076288688614,0.6747431264298155,100.149707923614,67.13476785133372
5.851073061377936,42.97424616184182,2.5403029670519564,4.695392333209957,6.083116003514221,5.637431425534001,0.018098808615936435,2.585905124042469,82.91949014487238,66.37201589850655,0.0002709917609449612,4.0224117167259195,9.472630272132005,0.11650428589463624,8.774058849903717,152.53160500831507,136.91608348467904
6.034673646046166,97.0882672061328,0.018136670238767222,1.291928148174966,6.030469114676892,5.953591829153109,0.0038518535801366598,2.552513225216016,59.83873596349532,7818.524893556053,0.0001006454992258858,8.905902173475939,9.937687601921269,0.11183579523756183,1.1609897695534002,105.69295398098609,99.36143435929937
6.346544127272563,0.3225791240283033,3.6682928748342385,1.905329586579485,5.409320152957738,9.987006673835936,0.009810442280343374,7.487264262727706,5.802020863880302,1.0491651408974936,0.0001757540023104701,1.7515956029615352,8.724769416186774,0.10062004421333104,0.180324841628113,100.04946655822954,158.85762817785985
6.415019285837181,64.32638897395431,8.22410831169367,15.825597204595109,4.402402480360165,3.2827962237333805,0.028712570079196226,3.582039836476193,167.9376267111172,25.05878424841643,0.00017028243875597074,0.43277240517659626,6.6166945458581425,0.10897475672963988,0.7583976886564839,100.00814467098571,682.3408851564151
6.540802339497942,2.996589347292955,0.6145970670940871,79.30333618287091,9.837245637347369,0.3035806087780642,0.02286011145510081,2.2461251076196977,5824.673058345803,4.339275142521656,0.0001000846780735294,0.08460289171643495,9.8499790663303,0.10003424089658075,6.765290934217561,101.15596162165623,2081.9471928011253
